STREET1,STREET2,1HASLANE,2HASLANE,BLFinal
Prescott Street,Lexington Street,0.0,0.0,0
Dorchester Avenue,Gibson Street,1.0,0.0,0
Huntington Avenue,Gainsborough Street,1.0,0.0,0
Dorchester Street,Old Harbor Street,0.0,0.0,0
Commonwealth Avenue,Massachusetts Avenue,1.0,1.0,0
Commonwealth Avenue,South Street,1.0,1.0,0
Parker Street,Prentiss Street,0.0,0.0,0
Berkeley Street,Newbury Street,0.0,0.0,0
Tremont Street,Massachusetts Avenue,0.0,1.0,0
Dorchester Avenue,Hecla Street,1.0,0.0,0
Tremont Street,Saint Alphonsus Street,0.0,0.0,0
Washington Street,Bartlett Street,1.0,0.0,0
Louis Prang Street,Evans Way,0.0,0.0,0
Commonwealth Avenue,Saint Paul Street,1.0,0.0,0
Massachusetts Avenue,Columbus Avenue,1.0,1.0,0
Exeter Street,Boylston Street,1.0,1.0,0
Massachusetts Avenue,Haviland Street,1.0,0.0,0
Aberdeen Street,Beacon Street,0.0,1.0,0
Blue Hill Avenue,Wilcock Street,1.0,0.0,0
Magazine Street,Dudley Street,0.0,0.0,0
Main Street,Medford Street,1.0,0.0,0
Belvidere Street,Huntington Avenue,1.0,1.0,0
Humboldt Avenue,Martin Luther King Boulevard,0.0,1.0,0
Verona Street,Carolina Avenue,0.0,0.0,0
Winthrop Street,Hyde Park Avenue,0.0,0.0,0
Mcbride Street,Call Street,0.0,0.0,0
Revere Street,Garden Street,0.0,0.0,0
Humboldt Avenue,Crawford Street,0.0,0.0,0
Blue Hill Avenue,Quincy Street,1.0,0.0,0
Ruggles Street,Parker Street,1.0,0.0,0
Washington Street,Park Street,1.0,0.0,0
Massachusetts Turnpike,Brookline Avenue,0.0,1.0,0
Congress Street,Farnsworth Street,1.0,0.0,0
North Harvard Street,Western Avenue,1.0,1.0,0
North Anderson Street,Bridge Court,0.0,0.0,0
Tremont Street,Parker Street,0.0,0.0,0
Beacon Street,Dartmouth Street,1.0,1.0,0
West Dedham Street,Shawmut Avenue,1.0,0.0,0
Saint James Avenue,Clarendon Street,0.0,0.0,0
Dudley Street,Dunmore Street,0.0,0.0,0
Commonwealth Avenue,Massachusetts Avenue,1.0,1.0,0
Columbus Avenue,Massachusetts Avenue,1.0,1.0,0
Columbus Avenue,West Newton Street,1.0,0.0,0
Columbus Avenue,Cedar Street,1.0,0.0,0
Beacon Street,Massachusetts Avenue,1.0,1.0,0
Massachusetts Avenue,Columbus Avenue,1.0,1.0,0
Burney Street,Tremont Street,0.0,0.0,0
Washington Street,Parsons Street,1.0,0.0,0
Melville Avenue,Waldeck Street,0.0,0.0,0
South Street,Essex Street,1.0,1.0,0
Higgins Street,Brighton Avenue,0.0,1.0,0
Concord Square,Columbus Avenue,0.0,1.0,0
Gloucester Street,Commonwealth Avenue,0.0,1.0,0
Huntington Avenue,Louis Prang Street,1.0,0.0,0
Strathmore Road,Sutherland Road,0.0,0.0,0
Blossom Street,Cambridge Street,0.0,1.0,0
Post Office Square,Congress Street,1.0,1.0,0
Carolina Place,Carolina Avenue,0.0,0.0,0
Centre Street,Oakview Terrace,1.0,0.0,0
Beacon Street,Ayr Road,1.0,0.0,0
Massachusetts Avenue,Newbury Street,1.0,0.0,0
Harvard Street,Harrison Avenue,0.0,1.0,0
Stuart Street,Dartmouth Street,1.0,1.0,0
Lenox Street,Tremont Street,0.0,0.0,0
Gardena Street,Market Street,0.0,1.0,0
Gloucester Street,Newbury Street,0.0,0.0,0
Blue Hill Avenue,Devon Street,1.0,0.0,0
Faneuil Street,Parsons Street,1.0,0.0,0
Massachusetts Avenue,Saint Botolph Street,1.0,0.0,0
Parker Street,Oscar Street,0.0,0.0,0
Annabel Street,Columbia Road,0.0,1.0,0
Columbia Road,Normandy Street,1.0,0.0,0
Massachusetts Avenue,Huntington Avenue,1.0,1.0,0
Dorchester Avenue,Adams Street,1.0,1.0,0
Harvard Avenue,Glenville Avenue,1.0,0.0,0
Cambridge Street,Rugg Road,1.0,0.0,0
Beacon Street,Massachusetts Avenue,1.0,1.0,0
Cambridge Street,Irving Street,1.0,0.0,0
Brookline Avenue,Pilgrim Road,1.0,0.0,0
Centre Street,Walter Street,1.0,0.0,0
Middleton Street,Wildwood Street,0.0,0.0,0
Alpha Road,Waldeck Street,0.0,0.0,0
Centre Street,Sheridan Street,1.0,0.0,0
Cambridge Street,Brighton Street,1.0,0.0,0
Ruggles Street,Tremont Street,1.0,0.0,0
Beacon Street,Charles Street,1.0,0.0,0
South Huntington Avenue,Perkins Street,1.0,1.0,0
Columbus Avenue,Chandler Street,1.0,0.0,0
Blue Hill Avenue,Talbot Avenue,1.0,1.0,0
Massachusetts Avenue,Haviland Street,1.0,0.0,0
Warren Street,Elm Hill Park,1.0,0.0,0
Commonwealth Avenue,Massachusetts Avenue,1.0,1.0,0
Harvard Avenue,Commonwealth Avenue Frontage Road Eb,1.0,1.0,0
Beacon Street,Massachusetts Avenue,1.0,1.0,0
Brighton Avenue,Commonwealth Avenue Frontage Road Wb,1.0,1.0,0
Cambridge Street,Tremont Street,1.0,0.0,0
Centre Street,Perkins Street,1.0,1.0,0
Washington Street,Kneeland Street,1.0,0.0,0
Tremont Street,Cufflin Street,0.0,0.0,0
Warren Street,Palmer Street,1.0,0.0,0
Dorchester Avenue,Roach Street,1.0,0.0,0
Boylston Street,Lamartine Street,1.0,0.0,0
Columbus Avenue,Cedar Street,1.0,0.0,0
Chestnut Hill Avenue,Hatherly Road,1.0,0.0,0
Commonwealth Avenue,Amory Street,1.0,0.0,0
Centre Street,Barbara Street,1.0,0.0,0
Main Street,Albion Place,1.0,0.0,0
Rutherford Avenue,New Rutherford Avenue,0.0,0.0,0
Huntington Avenue,South Huntington Avenue,1.0,1.0,0
Washington Street,Brinsley Street,1.0,0.0,0
Boylston Street,Dartmouth Street,1.0,1.0,0
Harvard Avenue,Commonwealth Avenue Frontage Road Wb,1.0,1.0,1
Beacon Street,Ayr Road,1.0,0.0,0
Commonwealth Avenue,Cummington Mall,1.0,0.0,1
Tremont Street,La Grange Street,0.0,0.0,0
Transit Street,Dorchester Avenue,0.0,1.0,0
Harrison Avenue,East Concord Street,1.0,0.0,0
State Street,Kilby Street,0.0,1.0,0
Pilgrim Road,Short Street,0.0,0.0,0
Humphreys Street,Groom Street,0.0,0.0,0
Beacon Street,Tremont Street,1.0,0.0,0
Public Alley 905,Massachusetts Avenue,0.0,1.0,0
Washington Street,Turner Street,1.0,0.0,0
Maitland Street,Beacon Street,0.0,1.0,0
Allstate Road,Willow Court,0.0,0.0,0
Commonwealth Avenue,Pleasant Street,1.0,0.0,1
Boylston Street,Lamartine Street,1.0,0.0,0
Shawmut Street Extension,Shawmut Street,0.0,0.0,0
Longwood Avenue,Blackfan Street,0.0,0.0,0
Charles Street South,Boylston Street,0.0,1.0,0
Wyman Street,Centre Street,0.0,1.0,0
Massachusetts Avenue,Haviland Street,1.0,0.0,0
Tremont Street,Whittier Street,0.0,0.0,0
Redwood Street,Centre Street,0.0,1.0,0
Washington Street,East Brookline Street,1.0,0.0,0
Lamartine Street,Paul Gore Street,0.0,0.0,0
Parker Street,Gore Street,0.0,0.0,0
Glendale Street,Hancock Street,0.0,0.0,0
Magazine Street,Dudley Street,0.0,0.0,0
Commonwealth Avenue,Amory Street,1.0,0.0,0
Williams Street,Amory Street,0.0,0.0,0
Parker Street,Ward Street,0.0,0.0,0
Blue Hill Avenue,Jewish War Veterans Drive,1.0,1.0,0
Kneeland Street,Harrison Avenue,0.0,1.0,0
Harvard Avenue,Commonwealth Avenue Frontage Road Wb,1.0,1.0,0
Washington Street,Herald Street,1.0,0.0,0
West Roxbury Parkway,Belgrade Avenue,0.0,1.0,1
Burrage Street,Centre Street,0.0,1.0,0
Spencer Street,Wheatland Avenue,0.0,0.0,0
Newbury Street,Clarendon Street,0.0,0.0,0
Highland Street,Marcella Street,0.0,1.0,0
Dorchester Avenue,Hancock Street,1.0,0.0,0
Commonwealth Avenue,Buick Street,1.0,0.0,0
Allston Street,Long Avenue,0.0,0.0,0
Park Street,Marlowe Street,0.0,0.0,0
Beacon Street,Acacia Avenue,1.0,0.0,0
Washington Street,Bexley Road,1.0,0.0,0
