STREET1,STREET2,1HASLANE,2HASLANE
Washington Street,Langley Road,1,0
Boylston Street,Gloucester Street,1,0
Market Street,Vineland Street,1,0
Washington Street,West Street,1,0
Commonwealth Avenue,Babcock Street,1,0
South Huntington Avenue,Colburn Street,1,0
Dorchester Avenue,Boston Street,1,0
Columbus Avenue,Holyoke Street,1,0
Ruggles Street,Leon Street,1,0
Blue Hill Avenue,Landor Road,1,0
Brighton Avenue,Park Vale Avenue,1,0
Warren Street,Howland Street,1,0
State Street,John F. Fitzgerald Surface Road,0,1
Cambridge Street,Barrows Street,1,0
Centre Street,Oakview Terrace,1,0
Boylston Street,Tamworth Street,1,0
Newbury Street,Exeter Street,0,1
Dorchester Avenue,Fuller Street,1,0
Napa Street,Massachusetts Avenue,0,1
West Broadway,A Street,0,1
Centre Street,West Roxbury Centre Street Rotary,1,0
D Street,Fargo Street,1,0
Washington Street,Allen Road,1,0
Commonwealth Avenue,Harry Agganis Way,1,0
Commonwealth Avenue,Blandford Mall,1,0
Commonwealth Avenue,Clarendon Street,1,0
Columbus Avenue,Wellington Street,1,0
Dorchester Avenue,Hecla Street,1,0
Blue Hill Avenue,Abbot Street,1,0
Blue Hill Avenue,Woolson Street,1,0
Buick Street,Commonwealth Avenue,0,1
Cummins Highway,Sycamore Street,1,0
Massachusetts Avenue,Saint Stephen Street,1,0
Tremont Street,Massachusetts Avenue,0,1
Atlantic Avenue,East Street,1,0
Blue Hill Avenue,Seaver Street,1,0
Cambridge Street,Court Street,1,0
Columbus Avenue,Heath Street,1,0
Stanwood Street,Blue Hill Avenue,0,1
West Fourth Street,A Street,0,1
Commonwealth Avenue Frontage Road Wb,Saint Lukes Road,1,0
Beacon Street,Arundel Street,1,0
Dorchester Avenue,Hancock Street,1,0
Linden Street,Brighton Avenue,0,1
Columbus Avenue,Cedar Street,1,0
Mapleton Street,Market Street,0,1
Porter Street,Bennington Street,0,1
Blue Hill Avenue,Mount Pleasant Avenue,1,0
Tremont Street,Columbus Avenue,0,1
Dorchester Avenue,Melvinside Terrace,1,0
South Huntington Avenue,Heath Street,1,0
Lake Street,Undine Road,1,0
Washington Street,Bexley Road,1,0
Columbus Avenue,Malcolm X Boulevard,1,0
South Street,Mcbride Street,1,0
Blossom Street,Cambridge Street,0,1
Meridian Street,Havre Street,1,0
Massachusetts Avenue,Clearway Street,1,0
Old Road,Ellington Street,1,0
Starr Lane,Centre Street,0,1
Columbus Avenue,Chandler Street,1,0
Tremont Street,Boylston Street,0,1
Washington Street,Atkins Street,1,0
Allston Street,Commonwealth Avenue Frontage Road Eb,0,1
South Street,Boynton Street,1,0
Commonwealth Avenue,Pleasant Street,1,0
Washington Street,Snow Street,1,0
Commonwealth Avenue,Crowninshield Road,1,0
Sparhawk Street,Market Street,0,1
North Harvard Street,Kingsley Street,1,0
Commonwealth Avenue,Mountfort Street,1,0
Boylston Street,Boylston Place,1,0
Wise Street,Centre Street,0,1
Beacon Street,Charles Street,1,0
Brighton Avenue,Linden Street,1,0
Columbus Avenue,Camden Street,1,0
Boston Street,Mount Vernon Street,0,1
Freeport Street,Beach Street,1,0
Centre Street,Johnson Avenue,1,0
Washington Street,Franklin Place,1,0
Huntington Avenue,Longwood Avenue,1,0
Harrison Avenue,Northampton Street,1,0
West First Street,D Street,0,1
Commonwealth Avenue,Saint Paul Street,1,0
Clarendon Street,Columbus Avenue,0,1
Commonwealth Avenue Frontage Road Wb,Chester Street,1,0
Green Street,Centre Street,0,1
Lincoln Street,Franklin Street,0,1
Washington Street,Avenue De Lafayette,1,0
Dorchester Avenue,Dexter Street,1,0
