FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Network,InstallDat,ExisFacil,Rec1,Rec2,Road,Divided,CurbtoCurb,KeyBus,LengthMi,BikeInvent,RoadSegmen,Spine,TravelLane,OneWay,WorkplanDa,Agent,Designer,EngStatus,ProjectedI,FiveYearPl,Shape_Leng
341,184,Washington Street,4519400,3,2,1,2011,BSBL, , ,1,0,0,1,0.061934,0,4519400,0,2,FT,0,Unknown,Unknown,0,0,0,99.672736
342,658,Dartmouth Street,5663200,5,2,1,2011,SLM, , ,1,0,0,0,0.022467,0,5663200,0,2,B,0,Boston Bikes,TDG,0,0,0,36.15711
343,185,Boylston Street,5650400,3,2,1,2012,SLM, , ,1,0,0,0,0.034954,0,5650400,0,2,FT,0,Boston Bikes,TDG,0,0,0,56.252588
344,659,Dartmouth Street,5269200,5,2,1,2011,BL,CT1-2, ,1,0,0,0,0.027611,0,5269200,0,2,FT,0,Boston Bikes,TDG,0,0,0,44.435325
345,186,Martha Road,5621200,5,2,1,2012,SLM, , ,1,0,0,0,0.086713,0,5621200,0,2,B,0,Boston Bikes,TDG,0,0,0,139.551238
346,187,Nashua Street,5252901,3,1,1,2012,SLM, , ,1,0,0,0,0.044998,0,5252901,0,2,B,0,Boston Bikes,TDG,0,0,0,72.417282
347,188,Main Street,5792200,5,2,1,2012,BL, , ,1,0,30,0,0.035501,0,5792200,0,1,FT,0,Boston Bikes,TDG,0,0,0,57.133056
348,660,Dartmouth Street,4486900,5,2,1,2011,BL,CT1-2, ,1,0,0,0,0.026749,0,4486900,0,2,FT,0,Boston Bikes,TDG,0,0,0,43.047992
349,189,Main Street,5839200,5,2,1,2012,BL, , ,1,0,30,0,0.033281,0,5839200,0,1,FT,0,Boston Bikes,TDG,0,0,0,53.560164
350,190,City Square,5581600,5,2,1,2012,BL, , ,1,0,0,0,0.017847,0,5581600,0,1,FT,0,Boston Bikes,TDG,0,0,0,28.721502
351,191,Main Street,5521800,5,2,1,2011,BL, , ,1,0,0,0,0.044052,0,5521800,0,2,B,0,Boston Bikes,TDG,0,0,0,70.895647
352,192,Main Street,5231800,5,2,1,2011,BL, , ,1,0,0,0,0.019714,0,5231800,0,2,B,0,Boston Bikes,TDG,0,0,0,31.727178
353,193,Ashmont Street,5514100,5,2,1,2013,SLM, , ,1,0,28,0,0.036997,0,5514100,0,2,B,0,PWD Highway,TDG,0,0,0,59.540434
354,661,Commonwealth Avenue,4483200,3,2,1,2010,BL,BFBL, ,1,1,0,0,0.116981,0,4483200,0,2,FT,0,Boston Bikes,TDG,0,0,0,188.262898
355,201,Dorchester Avenue,4663200,3,2,1,2011,BL, , ,1,0,0,0,0.028938,0,4663200,0,2,B,0,MassDOT,HSH,0,0,0,46.571615
356,194,Adams Street,5687300,5,2,1,2013,SLM, , ,1,0,26,0,0.014772,0,5687300,0,2,B,0,Boston Bikes,TDG,0,0,0,23.773712
357,662,Cambridge Street,45727700,3,2,1,2011,SLM, , ,1,0,52,0,0.043148,0,45727700,0,4,B,2014.1,Boston Bikes,TDG,100,0,0,69.439737
358,202,Dorchester Avenue,4638300,3,2,1,2011,BL, , ,1,0,0,0,0.061758,0,4638300,0,2,B,0,MassDOT,HSH,0,0,0,99.390339
359,195,Freeport Street,4752500,3,2,1,2013,BL, , ,1,0,30,0,0.031624,0,4752500,0,2,B,0,PWD Highway,TDG,100,2013,0,50.893307
360,203,Commercial Street,5150100,5,2,1,2011,BL,CT1-2, ,1,0,0,0,0.036091,0,5150100,1,4,B,0,BTD/NPS,TDG,10,2018,1.1,58.082669
361,663,Sullivan Square,5619400,3,2,1,2014,BFBL,BL, ,1,0,0,0,0.060604,0,5619400,0,2,FT,2014.1,BTD,TDG,100,0,0,97.532261
